latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
8.83321,9.79708,303.01,1.06,1.03,2024-02-02,0134,A,53,6.1NRT,291.87,5.3,N
8.60101,10.45417,302.5,1.13,1.06,2024-02-02,0134,A,49,6.1NRT,289.24,6.79,N
9.33745,4.95337,304.48,1.34,1.15,2024-02-02,0134,A,60,6.1NRT,293.03,8.63,N
7.14514,11.42248,304.23,1.35,1.15,2024-02-02,0134,A,56,6.1NRT,291.78,9.31,N
6.96352,10.01194,319.97,1.13,1.06,2024-02-02,0134,A,99,6.1NRT,289.79,21.43,N
6.95408,10.01112,306.02,1.13,1.06,2024-02-02,0134,A,67,6.1NRT,289.67,8.68,N
7.3706,-0.10305,304.02,3.05,1.66,2024-02-02,0134,A,52,6.1NRT,290.97,25.14,N
7.27465,-0.52686,300.63,3.28,1.71,2024-02-02,0134,A,29,6.1NRT,289.83,20.3,N
7.27083,-0.49801,300.41,3.26,1.71,2024-02-02,0134,A,23,6.1NRT,289.4,19.35,N
7.25948,-0.52899,317.65,3.28,1.71,2024-02-02,0134,A,95,6.1NRT,289.52,86.98,N
7.25569,-0.50013,300.92,3.26,1.71,2024-02-02,0134,A,23,6.1NRT,288.15,20.65,N
5.82836,6.44149,312.21,1.04,1.02,2024-02-02,0134,A,84,6.1NRT,294.3,11.5,N
5.827,6.45071,306.47,1.04,1.02,2024-02-02,0134,A,68,6.1NRT,294.3,7.21,N
5.90602,5.58421,306.36,1.12,1.06,2024-02-02,0134,A,68,6.1NRT,293.97,6.2,N
5.95817,5.05103,310.94,1.2,1.09,2024-02-02,0134,A,81,6.1NRT,294.57,10.58,N
5.77711,4.89294,314.23,1.22,1.1,2024-02-02,0134,A,85,6.1NRT,294.77,13.26,N
5.5661,5.07811,317.65,1.18,1.08,2024-02-02,0134,A,94,6.1NRT,294.13,16.6,N
4.8962,7.12557,308.19,1,1,2024-02-02,0134,A,73,6.1NRT,295.35,6.38,N
4.83409,7.10979,312.7,1,1,2024-02-02,0134,A,85,6.1NRT,295.83,9.65,N
4.31042,7.65936,308.79,1,1,2024-02-02,0134,A,63,6.1NRT,296.51,5.17,N
4.30909,7.66822,307.61,1,1,2024-02-02,0134,A,55,6.1NRT,296.48,4.44,N
4.44635,6.36427,305.48,1.03,1.01,2024-02-02,0134,A,57,6.1NRT,295.39,4.29,N
4.1508,7.97819,308.79,1.01,1.01,2024-02-02,0134,A,63,6.1NRT,296.25,5.53,N
3.70919,10.17709,302.87,1.25,1.11,2024-02-02,0134,A,52,6.1NRT,292.39,5.3,N
4.0206,7.49285,322.55,1,1,2024-02-02,0134,A,100,6.1NRT,296.66,16.78,N
4.01928,7.5017,310.04,1,1,2024-02-02,0134,A,69,6.1NRT,296.47,6.02,N
3.58175,7.39833,315.99,1,1,2024-02-02,0134,A,90,6.1NRT,296.08,10.81,N
-25.22351,-56.05848,316.33,1.3,1.13,2024-02-02,0138,T,92,6.1NRT,295.15,18.33,N
-25.225,-56.07132,307.59,1.3,1.13,2024-02-02,0138,T,69,6.1NRT,294.66,8.69,N
-25.21342,-56.05997,304.39,1.3,1.13,2024-02-02,0138,T,53,6.1NRT,294.38,5.72,N
-25.29526,-58.65911,310.9,1.93,1.36,2024-02-02,0138,T,78,6.1NRT,296.68,17.4,N
-25.29709,-58.67809,328.58,1.93,1.36,2024-02-02,0138,T,100,6.1NRT,298.15,61.89,N
-25.28494,-58.67956,355.66,1.93,1.36,2024-02-02,0138,T,100,6.1NRT,298.97,188.07,N
-25.28675,-58.6986,327.89,1.94,1.36,2024-02-02,0138,T,100,6.1NRT,298.15,59.24,N
-25.29113,-58.66519,324.95,1.93,1.36,2024-02-02,0138,T,100,6.1NRT,297.44,50.4,N
-25.29308,-58.68415,348.73,1.93,1.36,2024-02-02,0138,T,100,6.1NRT,299.22,147.21,N
-25.28092,-58.68561,333.17,1.93,1.36,2024-02-02,0138,T,100,6.1NRT,297.87,78.04,N
-23.41998,-47.72772,300.09,1.66,1.27,2024-02-02,0138,T,16,6.1NRT,289.06,7.82,N
-23.42136,-47.73323,301.35,1.66,1.27,2024-02-02,0138,T,40,6.1NRT,289.11,9.79,N
-25.25766,-63.15543,310.76,4.08,1.87,2024-02-02,0138,T,74,6.1NRT,295.89,44.18,N
-24.92923,-59.71232,308.67,2.27,1.46,2024-02-02,0138,T,69,6.1NRT,296.7,18.31,N
-23.23477,-56.50401,308.02,1.3,1.13,2024-02-02,0138,T,71,6.1NRT,296.19,8.87,N
-23.3698,-58.3724,307.57,1.73,1.29,2024-02-02,0138,T,67,6.1NRT,294.48,11.19,N
-23.37156,-58.38917,339.94,1.74,1.29,2024-02-02,0138,T,100,6.1NRT,295.86,91.52,N
-23.37331,-58.40599,307.04,1.74,1.29,2024-02-02,0138,T,65,6.1NRT,294.55,10.22,N
-23.36144,-58.37978,306.45,1.73,1.29,2024-02-02,0138,T,29,6.1NRT,294.62,9,N
-23.3633,-58.39655,307.72,1.74,1.29,2024-02-02,0138,T,48,6.1NRT,294.55,10.8,N
-23.05625,-57.78677,311.79,1.56,1.23,2024-02-02,0138,T,76,6.1NRT,297.06,15.01,N
-23.04524,-57.7882,314.15,1.56,1.23,2024-02-02,0138,T,87,6.1NRT,296.43,18.79,N
-22.87126,-58.71238,309.9,1.8,1.32,2024-02-02,0138,T,78,6.1NRT,295.81,15.45,N
-22.87308,-58.72977,317.12,1.81,1.32,2024-02-02,0138,T,94,6.1NRT,296.42,29.04,N
-22.8595,-58.71383,314.23,1.8,1.32,2024-02-02,0138,T,88,6.1NRT,296.1,22.3,N
-22.86131,-58.73123,314.4,1.81,1.32,2024-02-02,0138,T,89,6.1NRT,296.1,22.68,N
-22.44699,-57.06026,302.17,1.37,1.16,2024-02-02,0138,T,47,6.1NRT,290.98,5.71,N
-22.59629,-60.95816,306,2.62,1.55,2024-02-02,0138,T,46,6.1NRT,293.08,15.09,N
-22.60207,-60.93737,307.22,2.61,1.55,2024-02-02,0138,T,71,6.1NRT,293.4,19.49,N
-22.22183,-59.46733,309.56,2,1.38,2024-02-02,0141,T,77,6.1NRT,294.28,18.71,N
-21.5252,-54.0669,321.79,1.01,1.01,2024-02-02,0141,T,100,6.1NRT,295.57,18.79,N
-21.52651,-54.07651,326.31,1.01,1.01,2024-02-02,0141,T,100,6.1NRT,295.4,23.82,N
-20.93976,-50.42212,307.88,1.24,1.11,2024-02-02,0141,T,73,6.1NRT,292.02,10.41,N
-20.94166,-50.43394,303.38,1.24,1.1,2024-02-02,0141,T,55,6.1NRT,292.14,6.6,N
-21.72286,-56.10535,313,1.19,1.09,2024-02-02,0141,T,86,6.1NRT,296.34,12.96,N
-21.72424,-56.11672,305.84,1.19,1.09,2024-02-02,0141,T,65,6.1NRT,295.76,6.4,N
-21.72078,-56.11146,314.36,1.19,1.09,2024-02-02,0141,T,89,6.1NRT,296.41,14.61,N
-21.65926,-59.81362,303.85,2.09,1.41,2024-02-02,0141,T,53,6.1NRT,291.28,9.84,N
-20.54114,-58.23743,317.1,1.55,1.23,2024-02-02,0141,T,94,6.1NRT,292.14,26.66,N
-19.62704,-56.53975,324.48,1.19,1.08,2024-02-02,0141,T,100,6.1NRT,282.38,28.87,N
-19.62844,-56.55094,309.29,1.19,1.09,2024-02-02,0141,T,64,6.1NRT,281.21,11.45,N
-19.61597,-56.52994,347.77,1.19,1.08,2024-02-02,0141,T,100,6.1NRT,281.18,73.38,N
-19.61737,-56.54111,345.08,1.19,1.08,2024-02-02,0141,T,100,6.1NRT,284.38,66.06,N
-19.61877,-56.55231,313.33,1.19,1.09,2024-02-02,0141,T,21,6.1NRT,281.11,14.45,N
-19.60631,-56.53131,336.53,1.19,1.08,2024-02-02,0141,T,100,6.1NRT,275.02,48.08,N
-19.59526,-56.52152,303.4,1.19,1.08,2024-02-02,0141,T,25,6.1NRT,271.9,7.92,N
-19.56103,-56.5094,328.19,1.18,1.08,2024-02-02,0141,T,100,6.1NRT,283.52,35.99,N
-19.56244,-56.52052,333.56,1.18,1.08,2024-02-02,0141,T,100,6.1NRT,288.34,43.91,N
-19.56387,-56.53165,314.03,1.19,1.08,2024-02-02,0141,T,45,6.1NRT,287.82,16.61,N
-19.55138,-56.51077,315.82,1.18,1.08,2024-02-02,0141,T,92,6.1NRT,280.34,18.93,N
-19.55279,-56.52189,320.61,1.18,1.08,2024-02-02,0141,T,100,6.1NRT,283.72,23.37,N
-19.55421,-56.53302,316.36,1.19,1.08,2024-02-02,0141,T,93,6.1NRT,287.89,17.69,N
-19.55563,-56.54417,320.81,1.19,1.08,2024-02-02,0141,T,100,6.1NRT,287.83,23.03,N
-18.75719,-57.40145,302.52,1.3,1.13,2024-02-02,0141,T,50,6.1NRT,285.38,7.28,N
-18.75871,-57.41359,304.29,1.3,1.13,2024-02-02,0141,T,59,6.1NRT,285.92,8.7,N
-42.85945,-71.5845,314.42,1.01,1,2024-02-02,0314,T,89,6.1NRT,286.43,15.26,N
-42.85052,-71.587,319.08,1.01,1,2024-02-02,0314,T,98,6.1NRT,287.56,18.72,N
-42.78936,-71.61024,316.66,1.01,1,2024-02-02,0314,T,94,6.1NRT,282.64,18.28,N
-39.26957,-66.71568,321.6,1.75,1.3,2024-02-02,0314,T,100,6.1NRT,296.44,42.68,N
-39.27358,-66.7354,307.45,1.74,1.29,2024-02-02,0314,T,71,6.1NRT,294.04,16.19,N
-39.26273,-66.72353,316.62,1.75,1.3,2024-02-02,0314,T,93,6.1NRT,295.38,30.83,N
-39.41992,-71.93176,309.72,1.03,1.02,2024-02-02,0314,T,78,6.1NRT,274.72,13.65,N
-39.42175,-71.9438,328.08,1.03,1.02,2024-02-02,0314,T,100,6.1NRT,276.17,31.54,N
-38.47241,-68.56758,320.8,1.44,1.19,2024-02-02,0314,T,100,6.1NRT,278.7,36.17,N
-4.85613,12.03866,304.05,2.35,1.48,2024-02-02,0136,A,58,6.1NRT,286.45,20.55,N
-4.92193,11.37989,305.3,2.09,1.41,2024-02-02,0136,A,27,6.1NRT,291.15,12.1,N
-6.85056,12.39355,313.98,2.7,1.57,2024-02-02,0136,A,84,6.1NRT,287,51.29,N
-38.19247,-71.24401,308.27,1.1,1.05,2024-02-02,0314,T,41,6.1NRT,287.89,10.64,N
-37.91279,-72.65393,301.31,1.02,1.01,2024-02-02,0314,T,40,6.1NRT,290.9,4.56,N
-37.77685,-72.48981,303.9,1.03,1.01,2024-02-02,0314,T,57,6.1NRT,292.04,5.52,N
-37.76781,-72.49201,315.88,1.03,1.01,2024-02-02,0314,T,92,6.1NRT,293.89,14.05,N
-37.76958,-72.50355,302.34,1.03,1.01,2024-02-02,0314,T,25,6.1NRT,291.78,4.34,N
-37.75744,-72.4768,345.96,1.03,1.02,2024-02-02,0314,T,100,6.1NRT,295.9,56.97,N
-37.7592,-72.4884,347.47,1.03,1.02,2024-02-02,0314,T,100,6.1NRT,297.39,59.94,N
-37.76096,-72.50001,311.96,1.03,1.01,2024-02-02,0314,T,84,6.1NRT,292.39,11.57,N
-37.7484,-72.479,342.71,1.03,1.02,2024-02-02,0314,T,100,6.1NRT,296.53,50.65,N
-37.75016,-72.49064,332.91,1.03,1.02,2024-02-02,0314,T,100,6.1NRT,294.58,34.31,N
-37.73936,-72.4812,328.21,1.03,1.02,2024-02-02,0314,T,100,6.1NRT,296.67,27.86,N
-37.74112,-72.49281,310.71,1.03,1.02,2024-02-02,0314,T,81,6.1NRT,292.86,9.99,N
-37.72855,-72.47183,317.95,1.03,1.02,2024-02-02,0314,T,96,6.1NRT,295.08,16.54,N
-37.73032,-72.48344,376.52,1.03,1.02,2024-02-02,0314,T,100,6.1NRT,303.66,146.22,N
-37.73209,-72.49503,319.25,1.03,1.02,2024-02-02,0314,T,98,6.1NRT,292.68,17.44,N
-37.71951,-72.47405,328.45,1.03,1.02,2024-02-02,0314,T,100,6.1NRT,293,28.16,N
-37.72128,-72.48567,362.83,1.03,1.02,2024-02-02,0314,T,100,6.1NRT,294.76,98.59,N
-35.26066,-64.67527,313.52,2.93,1.63,2024-02-02,0314,T,86,6.1NRT,296.73,45.22,N
-35.26783,-64.70635,311.5,2.91,1.63,2024-02-02,0314,T,81,6.1NRT,296.66,37.44,N
-35.24644,-64.68024,312.01,2.93,1.63,2024-02-02,0314,T,83,6.1NRT,296.49,38.54,N
-35.25363,-64.71124,312.08,2.91,1.63,2024-02-02,0314,T,83,6.1NRT,296.36,38.32,N
-35.26055,-64.68081,317.21,2.93,1.63,2024-02-02,0314,T,94,6.1NRT,296.89,58.26,N
-35.26753,-64.71194,307.51,2.91,1.63,2024-02-02,0314,T,49,6.1NRT,296.54,22.43,N
